month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
2016-02,3435.11396135266,3435.11396135266,3435.11396135266,3348.55072463768
2016-03,3365.49689130435,3365.49689130435,3365.49689130435,3374.4347826087
2016-04,3343.57207729469,3343.57207729469,3343.57207729469,3325.55
2016-05,3348.91925465838,3348.91925465838,3348.91925465838,3364.52173913043
2016-06,3367.992602657,3367.992602657,3367.992602657,3404.86111111111
2016-07,3379.29338888889,3379.29338888889,3379.29338888889,3375.63
2016-08,3373.535,3373.535,3373.535,3375.64
2016-09,3381.40619047619,3381.40619047619,3381.40619047619,3388.56
2016-10,3435.84835978836,3435.84835978836,3435.84835978836,3465.15
2016-11,3560.62343434343,3560.62343434343,3560.62343434343,3630.22222222222
2016-12,3598.16597883598,3598.16597883598,3598.16597883598,3610.5
2017-01,3609.4773015873,3609.4773015873,3609.4773015873,3588.51
2017-02,3585.34954678363,3585.34954678363,3585.34954678363,3586.69
2017-03,3599.01411363636,3599.01411363636,3599.01411363636,3614.19
2017-04,3618.69722222222,3618.69722222222,3618.69722222222,3644.63
2017-05,3623.60659090909,3623.60659090909,3623.60659090909,3602.63
2017-06,3591.09857142857,3591.09857142857,3591.09857142857,3590.9
2017-07,3601.5305,3601.5305,3601.5305,3610.88
2017-08,3606.03173913043,3606.03173913043,3606.03173913043,3600.38
2017-09,3599.866,3599.866,3599.866,3603.08
2017-10,3637.90952380952,3637.90952380952,3637.90952380952,3650.53
2017-11,3638.85080808081,3638.85080808081,3638.85080808081,3634.53
2017-12,3623.26157894737,3623.26157894737,3623.26157894737,3635.08
2018-01,3640.05304232804,3640.05304232804,3640.05304232804,3625.21
2018-02,3637.56260233918,3637.56260233918,3637.56260233918,3645.99
2018-03,3660.11786111111,3660.11786111111,3660.11786111111,3686.89
2018-04,3697.2425,3697.2425,3697.2425,3713.22
2018-05,3726.84303030303,3726.84303030303,3726.84303030303,3768.34722222222
2018-06,3840.47675,3840.47675,3840.47675,3879.54
2018-07,3760.44343915344,3760.44343915344,3760.44343915344,3701.42
2018-08,3729.5325,3729.5325,3729.5325,3759.99
2018-09,3800.67941666667,3800.67941666667,3800.67941666667,3822.14
2018-10,3777.97772727273,3777.97772727273,3777.97772727273,3759.17
2018-11,3739.77228535354,3739.77228535354,3739.77228535354,3725.39
2018-12,3714.12678362573,3714.12678362573,3714.12678362573,3713.35
2019-01,3702.43409090909,3702.43409090909,3702.43409090909,3672.11
2019-02,3672.894,3672.894,3672.894,3694.79
2019-03,3706.1915,3706.1915,3706.1915,3715.13
2019-04,3736.97575,3736.97575,3736.97575,3747.18
2019-05,3765.62933080808,3765.62933080808,3765.62933080808,3758.9
2019-06,3728.98830246914,3728.98830246914,3728.98830246914,3694.76
2019-07,3696.48695652174,3696.48695652174,3696.48695652174,3700.76
2019-08,3693.73386363636,3693.73386363636,3693.73386363636,3689.49
2019-09,3675.49642857143,3675.49642857143,3675.49642857143,3684.235
2019-10,3695.83636363636,3695.83636363636,3695.83636363636,3711.19
2019-11,3697.44285714286,3697.44285714286,3697.44285714286,3699.38
2019-12,3676.7295,3676.7295,3676.7295,3665.20833333333
2020-01,3680.79272727273,3680.79272727273,3680.79272727273,3679.67
2020-02,3676.8465,3676.8465,3676.8465,3714.31
2020-03,3772.9075,3772.9075,3772.9075,3796.43
2020-04,3785.74641666667,3785.74641666667,3785.74641666667,3807.0
2020-05,3791.46,3791.46,3791.46,3784.81
2020-06,3737.9445,3737.9445,3737.9445,3730.14
2020-07,3703.53704545455,3703.53704545455,3703.53704545455,3686.42
2020-08,3677.52761904762,3677.52761904762,3677.52761904762,3678.16
2020-09,3695.08727272727,3695.08727272727,3695.08727272727,3715.52
2020-10,3719.91692857143,3719.91692857143,3719.91692857143,3740.46
2020-11,3710.67738095238,3710.67738095238,3710.67738095238,3700.805
2020-12,3666.54318181818,3666.54318181818,3666.54318181818,3650.07
2021-01,3691.563657289,3691.563657289,3691.563657289,3687.30217391304
2021-02,3667.31578947368,3667.31578947368,3667.31578947368,3665.49
2021-03,3662.86954545455,3662.86954545455,3662.86954545455,3663.93
2021-04,3623.302,3623.302,3623.302,3578.14
2021-05,3552.78657894737,3552.78657894737,3552.78657894737,3545.74
