area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Wakiso/Wattuba,4824.0,0,0,622139.2708,,,,,,,,,,,,,,,,,,,
Kampala/Kasubi,16542.0,5,2,787376.5854,,,,,,,,,,,,,,,,,,,
Buikwe/Tongolo,3815.0,0,0,245796.458,,,,,,,,,,,,,,,,,,,
Kampala/Kisenyi I,545.0,0,0,583688.1444,,,,,,,,,,,,,,,,,,,
Wakiso/Tebankiza,755.0,0,0,197462.95,,,,,,,,,,,,,,,,,,,
Wakiso/Jjungo,2821.0,0,0,291998.2935,,,,,,,,,,,,,,,,,,,
Luwero/Kyetume,2418.0,0,0,209410.4274,,,,,,,,,,,,,,,,,,,
Luwero/Kibengo,1644.0,0,0,165773.1772,,,,,,,,,,,,,,,,,,,
Mukono/Kiyanja,653.0,0,0,265668.4281,,,,,,,,,,,,,,,,,,,
Wakiso/Katereke,4046.0,0,0,508157.125,,,,,,,,,,,,,,,,,,,
Buikwe/Kobba,2277.0,0,0,265331.6327,,,,,,,,,,,,,,,,,,,
Mpigi/Luwala,1201.0,0,0,219249.5271,,,,,,,,,,,,,,,,,,,
Mpigi/Muyira,1233.0,0,0,214602.064,,,,,,,,,,,,,,,,,,,
Luwero/Kabunyata,997.0,0,0,176076.3308,,,,,,,,,,,,,,,,,,,
Wakiso/Kyaliwajala,20698.0,267,307,1146513.3075,380000000.0,4165340.9392,11900974.112,9.6338,8.7163,10.4595,0.9972,0.9439,0.9169,0.027,700000.0,49.1363,49.1363,52.916,2333333.3333,0.7997,0.3998,0.3727,221521.8341
Mukono/Nyenje Ward,7738.0,0,0,621304.3293,,,,,,,,,,,,,,,,,,,
Mukono/Ntunda,1744.0,0,0,207460.1971,,,,,,,,,,,,,,,,,,,
Mukono/Wagala,2178.0,0,0,189484.2019,,,,,,,,,,,,,,,,,,,
Wakiso/Katadde,4727.0,0,0,469677.2947,,,,,,,,,,,,,,,,,,,
Mukono/Nakibano,1295.0,0,0,210986.0131,,,,,,,,,,,,,,,,,,,
Kampala/Kanyanya,7086.0,24,34,890697.2918,255000000.0,2795162.9987,7986179.9962,11.153,8.1257,16.7295,0.9998,0.9751,0.9553,0.0198,300000.0,89.0697,38.1727,111.5114,1000000.0,0.5733,0.2169,0.1971,345062.2479
Wakiso/Kamuli,1180.0,0,0,305542.5778,,,,,,,,,,,,,,,,,,,
Buikwe/Kiyindi,3622.0,0,0,315855.0884,,,,,,,,,,,,,,,,,,,
Mukono/Namaiba,3487.0,0,0,332089.8194,,,,,,,,,,,,,,,,,,,
Mpigi/Kammengo,2191.0,0,0,364015.332,,,,,,,,,,,,,,,,,,,
Mpigi/Ward D,859.0,0,0,481209.8113,,,,,,,,,,,,,,,,,,,
Mpigi/Ward A,1112.0,0,0,466132.2713,,,,,,,,,,,,,,,,,,,
Mpigi/Ward C,768.0,0,0,388931.8221,,,,,,,,,,,,,,,,,,,
Mpigi/Ward B,1240.0,0,0,518781.9456,,,,,,,,,,,,,,,,,,,
Wakiso/Nansana West Ward,13632.0,0,0,678431.6223,,,,,,,,,,,,,,,,,,,
Mpigi/Bulunda,941.0,0,0,171896.8629,,,,,,,,,,,,,,,,,,,
Mpigi/Bumoozi,1528.0,0,0,278042.8327,,,,,,,,,,,,,,,,,,,
Wakiso/Kazo Ward,13940.0,0,0,606338.2795,,,,,,,,,,,,,,,,,,,
Mukono/Namumira-Anthony,12711.0,17,131,561961.6985,185000000.0,2027863.352,5793895.2914,9.6992,8.9718,10.555,0.9977,0.954,0.8205,0.1334,,,,,,,,,
Wakiso/Nalugala,6892.0,15,25,582637.6857,450000000.0,4932640.5859,14093258.8169,4.1342,2.3255,5.6375,0.9999,0.9951,0.8601,0.1349,,,,,,,,,
Wakiso/Kyanuuna,2013.0,0,0,263534.4783,,,,,,,,,,,,,,,,,,,
Mukono/Kigogola,1887.0,0,0,241796.4135,,,,,,,,,,,,,,,,,,,
Mukono/Ddundu,3976.0,0,0,366567.7421,,,,,,,,,,,,,,,,,,,
Buikwe/Nakalanga,1707.0,0,0,215172.9568,,,,,,,,,,,,,,,,,,,
Mpigi/Kyanja,1973.0,0,0,258740.443,,,,,,,,,,,,,,,,,,,
Buikwe/Kisimba,2099.0,0,0,235512.5242,,,,,,,,,,,,,,,,,,,
Mpigi/Lubugumu,837.0,0,0,182893.2323,,,,,,,,,,,,,,,,,,,
Wakiso/Lukwanga,5383.0,0,0,398052.8324,,,,,,,,,,,,,,,,,,,
