pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (454339.662948 33226.19275),17,14,3,0.057,6.015,21.56,15.339,7.273,20058.826,956747.124,965337.349,962582.941,31912.978,1099143.299,1115531.142,1114008.307,40146.331,1200347.236,1219240.724,1221227.723,32.59,0.301
POINT (454406.433375 30243.516991),1,1,0,0.824,14.453,23.971,23.566,15.711,15187.375,805502.704,845699.172,819436.206,27416.036,1041562.837,1061115.416,1053177.396,37392.568,1167989.0,1184645.999,1185574.491,32.59,0.274
POINT (454437.776151 37958.103491),7,3,4,0.023,10.416,17.412,6.471,9.487,21504.081,979877.689,969224.305,981341.887,34392.275,1134876.497,1145396.632,1150571.825,41471.767,1215859.982,1236004.182,1237880.846,32.591,0.343
POINT (454652.479119 36538.851889),251,182,69,1.492,8.599,20.087,12.171,7.646,19839.589,963512.724,955188.353,964399.683,32849.367,1113812.527,1126740.077,1129319.633,40723.413,1207651.076,1225953.445,1229104.565,32.592,0.331
POINT (454837.381292 40795.465504),4,1,3,0.444,19.812,18.879,4.465,18.289,19908.563,920420.745,906314.789,920525.518,34432.846,1138962.956,1141763.747,1154726.993,41770.723,1219067.383,1239027.349,1241596.728,32.594,0.369
POINT (455014.032095 34156.854175),10,5,5,0.277,7.106,22.65,16.059,6.75,19449.839,949014.973,956778.492,954545.149,31545.737,1093946.502,1111061.892,1109229.049,39914.419,1197507.212,1215944.014,1218623.148,32.596,0.309
POINT (455099.641495 38409.314637),4,3,1,0.29,12.662,16.002,4.76,11.733,22037.63,982175.645,970090.166,983478.415,35159.86,1145279.017,1154475.039,1161570.948,41876.247,1220888.915,1241245.568,1243108.964,32.596,0.347
POINT (455267.334588 20780.164336),77,14,63,10.297,44.021,22.85,30.318,45.279,3680.852,34697.121,62152.934,44328.798,16072.017,504271.958,516078.413,506581.607,29642.149,1059688.011,1075988.781,1069159.306,32.598,0.188
POINT (455267.997027 40344.471999),254,156,98,0.194,17.666,17.342,4.49,16.143,20909.265,948921.633,934083.639,949051.115,35069.018,1146272.231,1151733.956,1162570.011,41977.448,1220937.579,1242069.327,1243783.013,32.598,0.365
POINT (455409.031142 33320.105919),6,5,1,1.437,11.084,26.629,20.038,10.729,16216.571,891435.857,903213.839,896247.404,28793.675,1056028.522,1077865.688,1070085.078,38004.972,1176114.36,1190416.093,1194837.826,32.599,0.301
POINT (455411.150978 29977.848338),1,0,1,0.511,16.373,26.495,25.697,17.631,13905.796,776000.621,817748.536,790372.004,26004.094,1020882.058,1043569.154,1032239.273,36208.526,1154391.755,1168915.188,1170676.592,32.599,0.271
